index,TITLE,RELEASE_YEAR,SCORE,NUMBER_OF_SEASONS,MAIN_GENRE,MAIN_PRODUCTION
0,Monty Python's Flying Circus,1969,8.8,4,comedy,GB
1,Knight Rider,1982,6.9,4,action,US
2,Seinfeld,1989,8.9,9,comedy,US
3,Star Trek: Deep Space Nine,1993,8.1,7,scifi,US
4,Neon Genesis Evangelion,1995,8.5,1,scifi,JP
5,Stargate SG-1,1997,8.4,10,scifi,US
6,Cowboy Bebop,1998,8.9,1,western,JP
7,One Piece,1999,8.8,21,action,JP
8,Gilmore Girls,2000,8.2,8,comedy,US
9,Trailer Park Boys,2001,8.6,12,comedy,CA
10,Naruto,2002,8.4,6,scifi,JP
11,Chappelle's Show,2003,8.8,3,comedy,US
12,The 4400,2004,7.3,4,scifi,US
13,Avatar: The Last Airbender,2005,9.3,3,scifi,US
14,DEATH NOTE,2006,9.0,1,scifi,JP
15,iCarly,2007,6.7,6,comedy,US
16,Breaking Bad,2008,9.5,5,drama,US
17,Community,2009,8.5,6,comedy,US
18,Downton Abbey,2010,8.7,6,drama,GB
19,Hunter x Hunter,2011,9.0,3,drama,JP
20,Call the Midwife,2012,8.5,11,drama,GB
21,Attack on Titan,2013,9.0,4,scifi,JP
22,BoJack Horseman,2014,8.8,6,drama,US
23,Better Call Saul,2015,8.8,6,comedy,US
24,Stranger Things,2016,8.7,5,scifi,US
25,Anne with an E,2017,8.7,3,drama,CA
26,Cobra Kai,2018,8.6,5,action,US
27,Kota Factory,2019,9.3,2,drama,IN
28,The Last Dance,2020,9.1,1,documentary,US
29,Arcane,2021,9.1,1,action,US
30,Heartstopper,2022,8.9,1,drama,GB
