index,TITLE,RELEASE_YEAR,SCORE,NUMBER_OF_VOTES,DURATION,NUMBER_OF_SEASONS,MAIN_GENRE,MAIN_PRODUCTION
0,Breaking Bad,2008,9.5,1727694,48,5,drama,US
1,Avatar: The Last Airbender,2005,9.3,297336,24,3,scifi,US
2,Our Planet,2019,9.3,41386,50,1,documentary,GB
3,Kota Factory,2019,9.3,66985,42,2,drama,IN
4,The Last Dance,2020,9.1,108321,50,1,documentary,US
5,Arcane,2021,9.1,175412,41,1,action,US
6,Attack on Titan,2013,9.0,325381,24,4,scifi,JP
7,Hunter x Hunter,2011,9.0,87857,23,3,drama,JP
8,DEATH NOTE,2006,9.0,302147,24,1,scifi,JP
9,Seinfeld,1989,8.9,302700,24,9,comedy,US
10,Cowboy Bebop,1998,8.9,112887,25,1,western,JP
11,Heartstopper,2022,8.9,28978,28,1,drama,GB
12,When They See Us,2019,8.9,114127,74,1,drama,US
13,Monty Python's Flying Circus,1969,8.8,72895,30,4,comedy,GB
14,BoJack Horseman,2014,8.8,143584,26,6,drama,US
15,Chappelle's Show,2003,8.8,62140,21,3,comedy,US
16,Better Call Saul,2015,8.8,404920,49,6,comedy,US
17,Narcos,2015,8.8,404486,52,3,drama,US
18,One Piece,1999,8.8,112586,23,21,action,JP
19,Peaky Blinders,2013,8.8,485506,58,6,drama,GB
20,Anne with an E,2017,8.7,51001,46,3,drama,CA
21,Dark,2017,8.7,354443,56,3,scifi,DE
22,House of Cards,2013,8.7,494092,52,6,drama,US
23,Demon Slayer: Kimetsu no Yaiba,2019,8.7,88265,25,3,animation,JP
24,Stranger Things,2016,8.7,989090,52,5,scifi,US
25,One-Punch Man,2015,8.7,148386,24,2,action,JP
26,The Crown,2016,8.7,190878,56,5,drama,US
27,Arrested Development,2003,8.7,297552,28,5,comedy,US
28,Friday Night Lights,2006,8.7,64449,43,5,drama,US
29,Downton Abbey,2010,8.7,197744,58,6,drama,GB
30,Code Geass: Lelouch of the Rebellion,2006,8.7,62367,24,3,scifi,JP
31,Trailer Park Boys,2001,8.6,41791,25,12,comedy,CA
32,Mindhunter,2017,8.6,261429,53,2,crime,US
33,The Haunting of Hill House,2018,8.6,226817,58,1,drama,US
34,The Queen's Gambit,2020,8.6,406350,56,1,drama,US
35,Cobra Kai,2018,8.6,163858,31,5,action,US
36,Wentworth,2013,8.6,21747,46,9,drama,AU
37,It's Okay to Not Be Okay,2020,8.6,21104,76,1,drama,KR
38,Making a Murderer,2015,8.6,93456,62,2,crime,US
39,Shameless,2011,8.6,230243,54,11,drama,US
40,Sacred Games,2018,8.6,85088,50,2,action,IN
41,Formula 1: Drive to Survive,2019,8.6,36661,38,6,documentary,GB
42,Queer Eye,2018,8.5,18147,47,6,reality,US
43,Community,2009,8.5,252564,23,6,comedy,US
44,The Last Kingdom,2015,8.5,126473,55,5,action,GB
45,Schitt's Creek,2015,8.5,112537,22,6,comedy,CA
46,Neon Genesis Evangelion,1995,8.5,64727,24,1,scifi,JP
47,Call the Midwife,2012,8.5,25562,56,11,drama,GB
48,The IT Crowd,2006,8.5,147409,25,5,comedy,GB
49,ERASED,2016,8.5,42699,22,1,drama,JP
50,Supernatural,2005,8.5,428639,45,15,scifi,US
51,Ozark,2017,8.5,278223,60,4,crime,US
52,Delhi Crime,2019,8.5,18732,27,1,drama,IN
53,After Life,2019,8.5,124972,28,3,comedy,GB
54,Hilda,2018,8.5,10162,25,2,scifi,GB
55,Borgen,2010,8.5,23523,58,4,drama,DK
56,Ash vs Evil Dead,2015,8.4,70087,30,3,action,US
57,Heartland,2007,8.4,15743,44,15,drama,CA
58,Unbelievable,2019,8.4,95658,48,1,drama,US
59,The Promised Neverland,2019,8.4,34730,23,2,scifi,JP
60,Derry Girls,2018,8.4,28718,25,3,comedy,GB
61,Innocent,2017,8.4,17727,51,1,drama,TR
62,Trollhunters: Tales of Arcadia,2016,8.4,16509,22,3,action,US
63,Outlander,2014,8.4,152435,60,6,scifi,US
64,The Legend of Korra,2012,8.4,117464,23,4,action,US
65,The Dark Crystal: Age of Resistance,2019,8.4,24164,51,1,scifi,GB
66,Vincenzo,2021,8.4,15134,81,1,action,KR
67,Top Boy,2011,8.4,22420,48,2,drama,GB
68,Babylon Berlin,2017,8.4,23256,49,4,crime,DE
69,Stargate SG-1,1997,8.4,90196,44,10,scifi,US
70,Violet Evergarden,2018,8.4,19940,25,1,drama,JP
71,Narcos: Mexico,2018,8.4,80902,56,3,drama,US
72,The Dragon Prince,2018,8.4,21635,27,3,scifi,US
73,Maid,2021,8.4,74955,54,1,drama,US
74,Car Masters: Rust to Riches,2018,8.4,10024,39,3,reality,US
75,Naruto,2002,8.4,93980,23,6,scifi,JP
76,The Originals,2013,8.3,131574,43,5,scifi,US
77,Fauda,2015,8.3,25239,40,3,war,IL
78,Sex Education,2019,8.3,251168,52,4,drama,GB
79,Kingdom,2019,8.3,43760,48,2,action,KR
80,Money Heist,2017,8.3,450797,50,5,crime,ES
81,Young Royals,2021,8.3,26732,45,1,drama,SE
82,Atypical,2017,8.3,81643,31,4,comedy,US
83,Gurren Lagann,2007,8.3,17024,24,1,scifi,JP
84,30 Rock,2006,8.3,121514,25,7,comedy,US
85,Castlevania,2017,8.3,61114,26,4,scifi,US
86,Kim's Convenience,2016,8.3,16970,22,5,comedy,CA
87,Master of None,2015,8.3,72341,32,3,drama,US
88,Longmire,2012,8.3,34362,53,6,western,US
89,Call My Agent!,2015,8.3,13331,55,4,comedy,FR
90,The Get Down,2016,8.2,22304,62,2,drama,US
91,Sense8,2015,8.2,151518,62,2,scifi,US
92,One Day at a Time,2017,8.2,15669,29,4,comedy,US
93,The Kominsky Method,2018,8.2,38232,26,3,drama,US
94,Itaewon Class,2020,8.2,12030,69,1,drama,KR
95,The Good Place,2016,8.2,148562,23,4,scifi,US
96,Grace and Frankie,2015,8.2,48435,30,7,comedy,US
97,The Witcher,2019,8.2,465949,58,2,scifi,US
98,Locked Up,2015,8.2,21388,50,4,drama,ES
99,Gilmore Girls,2000,8.2,119054,46,8,comedy,US
100,Caliphate,2020,8.2,17735,48,1,war,SE
101,Fate/Zero,2011,8.2,12568,25,2,scifi,JP
102,The Walking Dead,2010,8.2,945125,46,11,action,US
103,anohana: The Flower We Saw That Day,2011,8.2,12682,23,1,drama,JP
104,The Trials of Gabriel Fernandez,2020,8.1,10982,55,1,crime,US
105,How to Get Away with Murder,2014,8.1,146712,43,6,drama,US
106,Derek,2013,8.1,31976,26,3,drama,GB
107,Rascal Does Not Dream of Bunny Girl Senpai,2018,8.1,10400,25,1,animation,JP
108,Wild Wild Country,2018,8.1,29298,67,1,crime,US
109,Bodyguard,2018,8.1,114446,60,2,war,GB
110,American Vandal,2017,8.1,29972,33,2,comedy,US
111,The End of the F***ing World,2017,8.1,177868,21,2,crime,GB
112,Manhunt,2017,8.1,57459,43,2,documentary,US
113,Criminal Minds,2005,8.1,189191,44,15,thriller,US
114,HAPPY!,2017,8.1,37747,43,2,scifi,US
115,Orange Is the New Black,2013,8.1,295591,59,7,drama,US
116,Star Trek: Deep Space Nine,1993,8.1,61145,47,7,scifi,US
117,Lovesick,2014,8.1,19259,24,3,comedy,GB
118,Lucifer,2016,8.1,308291,47,6,scifi,US
119,F is for Family,2015,8.0,36050,28,5,comedy,US
120,Don't F**k with Cats: Hunting an Internet Killer,2019,8.0,50250,62,1,crime,US
