index,person_id,id,name,character,role
0,3748,tm84618,Robert De Niro,Travis Bickle,ACTOR
1,14658,tm84618,Jodie Foster,Iris Steensma,ACTOR
2,7064,tm84618,Albert Brooks,Tom,ACTOR
3,3739,tm84618,Harvey Keitel,Matthew 'Sport' Higgins,ACTOR
4,48933,tm84618,Cybill Shepherd,Betsy,ACTOR
5,32267,tm84618,Peter Boyle,Wizard,ACTOR
6,519612,tm84618,Leonard Harris,Senator Charles Palantine,ACTOR
7,29068,tm84618,Diahnne Abbott,Concession Girl,ACTOR
8,519613,tm84618,Gino Ardito,Policeman at Rally,ACTOR
9,3308,tm84618,Martin Scorsese,Passenger Watching Silhouette,ACTOR
10,43791,tm84618,Murray Moston,Iris' Time Keeper,ACTOR
11,519614,tm84618,Richard Higgs,Secret Service Agent,ACTOR
12,519615,tm84618,Bill Minkin,Tom's Assistant (uncredited),ACTOR
13,82426,tm84618,Bob Maroff,Mafioso (uncredited),ACTOR
14,20935,tm84618,Victor Argo,"Melio, Delicatessen Owner",ACTOR
15,7753,tm84618,Joe Spinell,Personell Officer,ACTOR
16,43279,tm84618,Robinson Frank Adu,Angry Black Man (uncredited),ACTOR
17,519616,tm84618,Brenda Dickson,Soap Opera Woman (uncredited),ACTOR
18,8424,tm84618,Norman Matlock,Charlie T,ACTOR
19,20447,tm84618,Harry Northup,Doughboy,ACTOR
20,519618,tm84618,Harlan Cary Poe,Campaign Worker (uncredited),ACTOR
21,49567,tm84618,Steven Prince,Andy - Gun Salesman,ACTOR
22,15551,tm84618,Peter Savage,The John,ACTOR
23,475303,tm84618,Nicholas Shields,Palantine's Aide (uncredited),ACTOR
24,43540,tm84618,Ralph S. Singleton,T.V. Interviewer (uncredited),ACTOR
25,466061,tm84618,Annie Gagen,Campaign Worker (uncredited),ACTOR
26,212023,tm84618,Carson Grant,Political rallier (uncredited),ACTOR
27,5367,tm84618,Mary-Pat Green,Campaign Aide (uncredited),ACTOR
28,17421,tm84618,Debbi Morgan,Girl at Columbus Circle (uncredited),ACTOR
29,38141,tm84618,Don Stroud,Policeman (uncredited),ACTOR
30,811415,tm84618,Copper Cunningham,Hooker in Cab,ACTOR
31,1141852,tm84618,Garth Avery,Iris' friend,ACTOR
32,1662310,tm84618,Nat Grant,Stick-aup Man,ACTOR
33,1393387,tm84618,Billie Perkins,Iris' Friend (uncredited),ACTOR
34,9446,tm84618,Catherine Scorsese,Iris' Mother (newspaper article) (uncredited),ACTOR
35,9451,tm84618,Charles Scorsese,Iris' Father (newspaper article) (uncredited),ACTOR
36,3308,tm84618,Martin Scorsese,,DIRECTOR
37,11472,tm127384,Graham Chapman,King Arthur / Voice of God / Middle Head / Hiccoughing Guard,ACTOR
38,1549,tm127384,John Cleese,Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Launcelot the Brave / Taunting French Guard / Tim the Enchanter,ACTOR
39,11474,tm127384,Eric Idle,Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard,ACTOR
40,11473,tm127384,Terry Gilliam,Patsy / Green Knight / Old Man from Scene 24 (Bridgekeeper) / Sir Bors / Animator / Gorilla Hand,ACTOR
