index,TITLE,RELEASE_YEAR,SCORE,MAIN_GENRE,MAIN_PRODUCTION
0,White Christmas,1954,7.5,romance,US
1,The Guns of Navarone,1961,7.5,war,US
2,My Fair Lady,1964,7.8,drama,US
3,Bonnie and Clyde,1967,7.7,drama,US
4,Dirty Harry,1971,7.7,thriller,US
5,The Exorcist,1973,8.1,horror,US
6,Monty Python and the Holy Grail,1975,8.2,comedy,GB
7,Taxi Driver,1976,8.3,crime,US
8,Life of Brian,1979,8.0,comedy,GB
9,The Blue Lagoon,1980,5.8,romance,US
10,Annie,1982,6.6,drama,US
11,Christine,1983,6.7,horror,US
12,Once Upon a Time in America,1984,8.3,drama,US
13,Stand by Me,1986,8.1,drama,US
14,Full Metal Jacket,1987,8.3,drama,GB
15,When Harry Met Sally...,1989,7.7,romance,US
16,Awakenings,1990,7.8,drama,US
17,My Girl,1991,6.9,comedy,US
18,A River Runs Through It,1992,7.2,drama,US
19,Menace II Society,1993,7.5,drama,US
20,Forrest Gump,1994,8.8,drama,US
21,Desperado,1995,7.1,thriller,US
22,Happy Gilmore,1996,7.0,comedy,US
23,Neon Genesis Evangelion: The End of Evangelion,1997,8.0,scifi,JP
24,Saving Private Ryan,1998,8.6,drama,US
25,"Girl, Interrupted",1999,7.3,drama,US
26,The Patriot,2000,7.2,drama,DE
27,Lagaan: Once Upon a Time in India,2001,8.1,drama,IN
28,Road to Perdition,2002,7.7,thriller,US
29,Big Fish,2003,8.0,drama,US
30,Swades,2004,8.1,drama,IN
31,Memoirs of a Geisha,2005,7.3,drama,FR
32,Rang De Basanti,2006,8.1,comedy,IN
33,Like Stars on Earth,2007,8.3,drama,IN
34,Ip Man,2008,8.0,drama,HK
35,3 Idiots,2009,8.4,comedy,IN
36,Inception,2010,8.8,scifi,GB
37,Warrior,2011,8.2,drama,US
38,Django Unchained,2012,8.4,western,US
39,Rush,2013,8.1,drama,US
40,Queen,2014,8.2,drama,IN
41,Drishyam,2015,8.2,thriller,IN
42,Dangal,2016,8.4,action,IN
43,Bāhubali 2: The Conclusion,2017,8.2,fantasy,IN
44,Andhadhun,2018,8.2,thriller,IN
45,Dave Chappelle: Sticks & Stones,2019,8.4,comedy,US
46,David Attenborough: A Life on Our Planet,2020,9.0,documentary,GB
47,Bo Burnham: Inside,2021,8.7,comedy,US
48,The Tinder Swindler,2022,7.2,crime,GB
